mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_coxnetsurvivalanalysis__alphas,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.7686201572418212,0.09418663018132985,0.6969199180603027,0.11141577732614007,[0.051777091330614866],{'coxnetsurvivalanalysis__alphas': [0.051777091330614866]},0.654071814128139,0.5755555555555556,0.6882494004796164,0.6144838767789588,0.5120707242434546,0.6088862742371448,0.06140970526691558,9
1.722376537322998,0.10205314950680278,0.5753756999969483,0.14738167199419058,[0.04063258865749823],{'coxnetsurvivalanalysis__alphas': [0.04063258865749823]},0.6681530157240084,0.6660536398467433,0.7359445776711964,0.638263375968294,0.6038762325739544,0.6624581683568393,0.043503660155168905,3
1.9085517883300782,0.22333938175483392,0.520695161819458,0.09703312266265282,[0.03188682907016143],{'coxnetsurvivalanalysis__alphas': [0.03188682907016143]},0.6587655479934288,0.6665134099616858,0.7202238209432454,0.6533957845433255,0.6331179870792247,0.666403310104182,0.02909330977770976,1
2.086108350753784,0.1902275331722275,0.5319784641265869,0.1362125319806667,[0.025023507035701997],{'coxnetsurvivalanalysis__alphas': [0.025023507035701997]},0.6709692560431824,0.650727969348659,0.6807887023714362,0.6813186813186813,0.624957497449847,0.661752421306361,0.021473581595991335,4
2.0006725788116455,0.1280072286761089,0.5513562679290771,0.07531178255658243,[0.019637446639427084],{'coxnetsurvivalanalysis__alphas': [0.019637446639427084]},0.6667448955644215,0.6450574712643679,0.6250999200639489,0.6544766708701135,0.6215572934376062,0.6425872502400917,0.01719952291342012,7
2.389891576766968,0.23926114712121224,0.4362188816070557,0.1142007981443017,[0.015410682042535201],{'coxnetsurvivalanalysis__alphas': [0.015410682042535201]},0.6336540718141281,0.6334099616858238,0.5771382893685052,0.625112592325707,0.6207072424345461,0.618004431525742,0.021024339762529827,8
159.37988362312316,198.1974759093086,0.2516185283660889,0.028420312186296936,[0.012093686382795722],{'coxnetsurvivalanalysis__alphas': [0.012093686382795722]},0.6233278573104905,0.4343295019157088,0.47961630695443647,0.61736624031706,0.6242774566473989,0.555783472629019,0.08197391189123136,13
373.7772545814514,309.51416257191073,0.09200348854064941,0.11327971217262556,[0.00949064096720264],{'coxnetsurvivalanalysis__alphas': [0.00949064096720264]},0.5,0.5,0.24193978150812684,0.5,0.7225433526011561,0.49289662682185653,0.15222899237825624,20
854.9250744342804,441.27856674723853,0.15662221908569335,0.12886181578959197,[0.007447875124038308],{'coxnetsurvivalanalysis__alphas': [0.007447875124038308]},0.5,0.7118773946360153,0.6935784705568878,0.5,0.45987759265555933,0.5730666915696925,0.10703341077187069,12
499.30793299674986,714.3602160995379,0.05513153076171875,0.1102630615234375,[0.005844794261521688],{'coxnetsurvivalanalysis__alphas': [0.005844794261521688]},0.5,0.5,0.5,0.5,0.5139408364501871,0.5027881672900374,0.005576334580074826,15
107.88848190307617,48.8185262165387,0.0,0.0,[0.004586760571382151],{'coxnetsurvivalanalysis__alphas': [0.004586760571382151]},0.5,0.5,0.5,0.5,0.5,0.5,0.0,16
281.3331425189972,273.56281199653347,0.0,0.0,[0.0035995060900071087],{'coxnetsurvivalanalysis__alphas': [0.0035995060900071087]},0.5,0.5,0.5,0.5,0.5,0.5,0.0,16
340.18094382286074,254.5507628090859,0.0,0.0,[0.002824748292473883],{'coxnetsurvivalanalysis__alphas': [0.002824748292473883]},0.5,0.5,0.5,0.5,0.5,0.5,0.0,16
1767.5649411201478,1955.9121580723895,0.09815239906311035,0.12138085304189868,[0.0022167493862521453],{'coxnetsurvivalanalysis__alphas': [0.0022167493862521453]},0.5,0.5,0.7711164401811884,0.5,0.7074124447466849,0.5957057769855747,0.11893365178136402,10
3811.5680412769316,1477.2360688688595,0.18604650497436523,0.09396388674341104,[0.0017396161826318535],{'coxnetsurvivalanalysis__alphas': [0.0017396161826318535]},0.7404365172494719,0.6291187739463602,0.7226219024780176,0.5,0.7245834750085005,0.6633521337364701,0.0906201162446889,2
5016.746925497055,117.68315362699893,0.24831123352050782,0.03072241809919894,[0.0013651811439050956],{'coxnetsurvivalanalysis__alphas': [0.0013651811439050956]},0.7268246890401314,0.6275862068965518,0.7466027178257394,0.6932084309133489,0.42706562393743625,0.6442575337226415,0.11587779856070943,5
5168.198680877686,84.30627629759272,0.19893345832824708,0.026769893129796305,[0.0010713395140153367],{'coxnetsurvivalanalysis__alphas': [0.0010713395140153367]},0.7284674958929829,0.6306513409961686,0.7335464961364242,0.4534318140875518,0.43029581774906495,0.5952785929724385,0.13072746689943776,11
3901.639658021927,37.812015018300876,0.15391907691955567,0.020484299160477146,[0.0008407443652550246],{'coxnetsurvivalanalysis__alphas': [0.0008407443652550246]},0.7019478995540953,0.6570114942528735,0.736743938182787,0.6766348405692668,0.44083645018701123,0.6426349245492068,0.10436459145873292,6
1533.5573992729187,1823.6716275743931,0.05416426658630371,0.06811412334777804,[0.0006597825231506912],{'coxnetsurvivalanalysis__alphas': [0.0006597825231506912]},0.6967847923022764,0.5,0.5,0.5,0.44967698061883715,0.5292923545842226,0.08598424341197379,14
47.599956798553464,7.9473718163968625,0.0,0.0,[0.0005177709133061488],{'coxnetsurvivalanalysis__alphas': [0.0005177709133061488]},0.5,0.5,0.5,0.5,0.5,0.5,0.0,16
