fetures,p-val
MSTRG.11857_MSTRG.11857.1,0.03191157514724728
MSTRG.42988_MSTRG.42988.10,0.18821533724466177
MSTRG.5450_MSTRG.5450.1,0.007884477482265185
MSTRG.80358_ENST00000489459.5,0.0047557027543131845
MSTRG.32167_ENST00000199706.13,0.15162237264331652
MSTRG.33706_ENST00000524644.5,0.91364358459796
MSTRG.8525_ENST00000470558.5,0.06443073824687547
MSTRG.32927_ENST00000529166.5,0.6546845341922174
MSTRG.16726_ENST00000663202.1,0.3339546625493649
MSTRG.64624_ENST00000304312.5,0.07207602108355951
MSTRG.86341_ENST00000522568.1,0.2647830253491368
MSTRG.60383_MSTRG.60383.7,0.23869235211715356
MSTRG.42673_MSTRG.42673.41,0.1994615101527266
MSTRG.964_MSTRG.964.33,0.3260612262438943
MSTRG.10012_ENST00000444869.5,0.3309605604140826
MSTRG.58860_ENST00000216218.8,0.8651190182847411
MSTRG.40123_MSTRG.40123.16,0.10609579885709343
MSTRG.58371_MSTRG.58371.17,0.5770705004365354
MSTRG.55138_MSTRG.55138.15,0.0009592510567459768
MSTRG.48423_MSTRG.48423.1,0.03264551175679798
MSTRG.33792_ENST00000380244.7,0.8944845436227425
MSTRG.3096_MSTRG.3096.6,0.13320940312548316
MSTRG.22941_MSTRG.22941.23,0.5446370625404702
MSTRG.476_ENST00000354700.10,0.3993459291614331
MSTRG.72660_MSTRG.72660.2,0.04910902445073147
MSTRG.18715_MSTRG.18715.1,0.018199244701106742
MSTRG.59200_ENST00000473624.1,0.5534058789485432
MSTRG.37993_ENST00000469698.5,0.7393583741448215
MSTRG.39811_ENST00000591198.5,0.11875428551577392
MSTRG.33417_ENST00000613406.1,0.26307828414144174
MSTRG.18897_MSTRG.18897.1,0.7682755364592857
MSTRG.36010_MSTRG.36010.8,0.42602453686815067
MSTRG.51175_MSTRG.51175.1,0.3018012855209856
MSTRG.32192_ENST00000538492.5,0.9439230544727369
MSTRG.62477_MSTRG.62477.1,0.047335428582647374
MSTRG.75603_MSTRG.75603.4,1.9872402002200407e-05
MSTRG.32682_MSTRG.32682.18,0.961000389707393
MSTRG.50909_MSTRG.50909.1,0.7819854307241529
MSTRG.85517_ENST00000265421.9,0.4216249600278861
MSTRG.55138_ENST00000371792.5,8.011293832972222e-07
MSTRG.15897_MSTRG.15897.5,0.9729332906994403
MSTRG.9875_ENST00000456355.1,4.229294052883823e-06
MSTRG.33792_MSTRG.33792.1,0.31387389365355
MSTRG.33348_ENST00000449606.5,0.14471525432221943
