transcripts,p-val
MSTRG.11857_MSTRG.11857.1,0.11732815992858495
MSTRG.42988_MSTRG.42988.10,0.710458562604811
MSTRG.5450_MSTRG.5450.1,0.02716760022442306
MSTRG.80358_ENST00000489459.5,0.28396290755872045
MSTRG.32167_ENST00000199706.13,0.06497777491756272
MSTRG.33706_ENST00000524644.5,0.7333691961106994
MSTRG.8525_ENST00000470558.5,0.010322131461537012
MSTRG.32927_ENST00000529166.5,0.6323032614068301
MSTRG.16726_ENST00000663202.1,0.046872531645635734
MSTRG.64624_ENST00000304312.5,0.37673224490178137
MSTRG.86341_ENST00000522568.1,0.2158866821828972
MSTRG.60383_MSTRG.60383.7,0.3521646707432391
MSTRG.42673_MSTRG.42673.41,0.3864582840049443
MSTRG.964_MSTRG.964.33,0.8387657591368322
MSTRG.10012_ENST00000444869.5,0.4808050968938793
MSTRG.58860_ENST00000216218.8,0.8116183447564178
MSTRG.40123_MSTRG.40123.16,0.23430328824344243
MSTRG.58371_MSTRG.58371.17,0.35020144544458565
MSTRG.55138_MSTRG.55138.15,0.5852228684280034
MSTRG.48423_MSTRG.48423.1,0.43791232587472206
MSTRG.33792_ENST00000380244.7,0.5711889947882466
MSTRG.3096_MSTRG.3096.6,0.8023594685188976
MSTRG.22941_MSTRG.22941.23,0.7846842980407813
MSTRG.476_ENST00000354700.10,0.618492832696182
MSTRG.72660_MSTRG.72660.2,0.4363748718546141
MSTRG.18715_MSTRG.18715.1,0.5183018994628312
MSTRG.59200_ENST00000473624.1,0.02310381083421907
MSTRG.37993_ENST00000469698.5,0.11645165362757524
MSTRG.39811_ENST00000591198.5,0.6745799093789672
MSTRG.33417_ENST00000613406.1,0.5050753156377692
MSTRG.18897_MSTRG.18897.1,0.07335338226823147
MSTRG.36010_MSTRG.36010.8,0.9424251228480366
MSTRG.51175_MSTRG.51175.1,0.5925493630314878
MSTRG.32192_ENST00000538492.5,0.2810784671911635
MSTRG.62477_MSTRG.62477.1,0.001867157861672362
MSTRG.75603_MSTRG.75603.4,0.04321059992185957
MSTRG.32682_MSTRG.32682.18,0.542042791991648
MSTRG.50909_MSTRG.50909.1,0.6875865457203467
MSTRG.85517_ENST00000265421.9,0.30377064763623407
MSTRG.55138_ENST00000371792.5,0.019065432824174836
MSTRG.15897_MSTRG.15897.5,0.8306994951703321
MSTRG.9875_ENST00000456355.1,0.4393713509478807
MSTRG.33792_MSTRG.33792.1,0.9583524739462164
MSTRG.33348_ENST00000449606.5,0.7346786695838895
MSTRG.58535_ENST00000438146.7,0.42763063853815364
MSTRG.26404_MSTRG.26404.50,0.7474350892721475
MSTRG.39700_ENST00000355423.7,0.10761806870259476
MSTRG.1058_ENST00000294489.10,0.5612224927547653
MSTRG.80361_ENST00000615423.1,0.6537911278794262
MSTRG.5614_ENST00000638901.1,0.891015189300099
MSTRG.59787_ENST00000383791.8,0.010337441224997936
MSTRG.39774_MSTRG.39774.1,0.11458705670068535
MSTRG.36294_MSTRG.36294.6,0.793090260132116
MSTRG.13394_ENST00000361518.10,0.22828694205653788
MSTRG.78077_ENST00000318471.5,0.5489683887565493
MSTRG.15730_MSTRG.15730.1,0.8423408620798727
MSTRG.33232_ENST00000261388.7,0.2954522178133731
MSTRG.74460_MSTRG.74460.1,0.4303137503046749
MSTRG.22135_MSTRG.22135.2,0.08386374667225133
MSTRG.17614_MSTRG.17614.1,0.2528761699645089
MSTRG.65587_ENST00000515612.1,0.03637612621299631
MSTRG.15800_ENST00000537918.1,0.2128375458915988
MSTRG.86816_MSTRG.86816.7,0.20579094296912123
MSTRG.3066_MSTRG.3066.1,0.465761851933439
MSTRG.18960_MSTRG.18960.26,0.017113884625324677
MSTRG.40489_ENST00000546007.6,0.0793084186148846
MSTRG.13957_MSTRG.13957.1,0.2650848853484415
MSTRG.4687_ENST00000483994.1,0.9051770839152553
MSTRG.38322_MSTRG.38322.2,0.018923352452592034
MSTRG.12877_ENST00000469758.5,0.42470528162703003
MSTRG.20521_ENST00000660808.1,0.0033347527848763513
MSTRG.64729_MSTRG.64729.1,0.532940992309133
MSTRG.39536_ENST00000542342.6,0.9223153923501883
MSTRG.37866_ENST00000646401.1,0.5299741315668035
MSTRG.38421_ENST00000290216.14,0.004839142726810278
MSTRG.94199_MSTRG.94199.3,0.0007746403166779593
