fetures,p.val,p.adjust
AC010598.1_ENSG00000251374.1,0.520374846837213,0.607019308769411
AC012464.1_ENSG00000257283.1,0.917099724367206,0.938244383591333
AL136129.1_ENSG00000286826.1,5.89910737655205e-07,2.7458141064436e-06
MIR6165_ENSG00000277478.1,0.0158671225336904,0.0309052429445286
WFIKKN2_ENSG00000173714.8,0.000717652058489468,0.0019047172710083
AC005837.3_ENSG00000274051.1,0.195674466103064,0.272012664789644
AC025575.2_ENSG00000258053.1,3.30968847059806e-08,1.872548482934e-07
AC004870.1_ENSG00000214754.3,0.264411257435773,0.34881965669853
RN7SL521P_ENSG00000240877.3,0.831545644124747,0.872575653411336
EEF1E1-BLOC1S5_ENSG00000265818.1,0.636697666587548,0.710516226373807
AC004080.1_ENSG00000253308.2,0.0723264791055767,0.116442784348136
AL158040.1_ENSG00000221042.1,0.535099190517851,0.620726498503957
AC068987.3_ENSG00000261586.2,0.00078259949405021,0.00206216062759953
AL158063.1_ENSG00000276957.1,0.635751540864263,0.709763606100404
MIR4640_ENSG00000284370.1,0.578390783749059,0.659798953400793
H2AFB2_ENSG00000277858.1,0.62692507425131,0.702137174396627
ACTBL2_ENSG00000169067.4,0.0169810634863513,0.0328257135864319
AL136038.4_ENSG00000270878.1,0.0475249536679595,0.0808732342898869
GRM6_ENSG00000113262.16,8.97794414631127e-05,0.000284969701668035
AC022387.2_ENSG00000286373.1,8.84294959578016e-06,3.38841657219975e-05
AC069209.1_ENSG00000274029.1,0.321697027188874,0.40997754299596
LINC01160_ENSG00000231346.5,0.0423252070829513,0.0731495908560211
AC073912.2_ENSG00000256299.1,0.997253192936684,0.998420688160428
MIR449C_ENSG00000251856.1,0.296639336838638,0.38350170529677
FAM170A_ENSG00000164334.15,0.242185613629305,0.324535622138301
HEPN1_ENSG00000221932.6,4.31677153865439e-06,1.74008869579154e-05
SEMA6A-AS2_ENSG00000249167.2,0.0461031833990821,0.0787911305459636
AC025034.1_ENSG00000258302.2,0.461011374984947,0.55102291361866
ASXL3_ENSG00000141431.12,4.38578520145317e-08,2.43740142123296e-07
AL732314.4_ENSG00000280767.3,0.642459219347662,0.715305228595509
