transcripts,p-val
RFS_all_event,0.9905290147177381
MSTRG.11857_MSTRG.11857.1,0.41756410308546876
MSTRG.42988_MSTRG.42988.10,0.28027215426926144
MSTRG.5450_MSTRG.5450.1,0.05755842783833471
MSTRG.80358_ENST00000489459.5,0.0787379514825126
MSTRG.32167_ENST00000199706.13,0.644183036106732
MSTRG.33706_ENST00000524644.5,0.8439451695249729
MSTRG.8525_ENST00000470558.5,6.130255252615361e-07
MSTRG.32927_ENST00000529166.5,0.22522099349552044
MSTRG.16726_ENST00000663202.1,0.0132591889503589
MSTRG.64624_ENST00000304312.5,0.2322146374279409
MSTRG.86341_ENST00000522568.1,0.797875181272644
MSTRG.60383_MSTRG.60383.7,0.9640457996226695
MSTRG.42673_MSTRG.42673.41,0.5994640876419675
MSTRG.964_MSTRG.964.33,0.6535801692308284
MSTRG.10012_ENST00000444869.5,0.4135782683178427
MSTRG.58860_ENST00000216218.8,0.6275558029188366
MSTRG.40123_MSTRG.40123.16,0.8348759048693167
MSTRG.58371_MSTRG.58371.17,0.7510562479340466
MSTRG.55138_MSTRG.55138.15,0.7323201666624936
MSTRG.48423_MSTRG.48423.1,0.9381317710585809
MSTRG.33792_ENST00000380244.7,0.7798691289747415
MSTRG.3096_MSTRG.3096.6,0.4368867138125252
MSTRG.22941_MSTRG.22941.23,0.9843097257282019
MSTRG.476_ENST00000354700.10,0.39901137921433794
MSTRG.72660_MSTRG.72660.2,0.6719654434922675
MSTRG.18715_MSTRG.18715.1,0.36792347830639127
MSTRG.59200_ENST00000473624.1,0.3184889786696252
MSTRG.37993_ENST00000469698.5,0.07430122857464064
MSTRG.39811_ENST00000591198.5,0.3330239033634642
MSTRG.33417_ENST00000613406.1,0.07414187440861132
MSTRG.18897_MSTRG.18897.1,0.4296387989191096
MSTRG.36010_MSTRG.36010.8,0.5528671038619397
MSTRG.51175_MSTRG.51175.1,0.8620368932540967
MSTRG.32192_ENST00000538492.5,0.0273970849637736
MSTRG.62477_MSTRG.62477.1,0.024181610087059068
MSTRG.75603_MSTRG.75603.4,0.04493366570330987
MSTRG.32682_MSTRG.32682.18,0.5514996173587876
MSTRG.50909_MSTRG.50909.1,0.8346589238610095
MSTRG.85517_ENST00000265421.9,0.9311507922226133
MSTRG.55138_ENST00000371792.5,0.598483219098711
MSTRG.15897_MSTRG.15897.5,0.7779774467136762
MSTRG.9875_ENST00000456355.1,0.2918158283033039
MSTRG.33792_MSTRG.33792.1,0.6692232448849833
MSTRG.33348_ENST00000449606.5,0.8015708285139854
MSTRG.58535_ENST00000438146.7,0.902661945726886
MSTRG.26404_MSTRG.26404.50,0.06366071541945578
MSTRG.39700_ENST00000355423.7,0.0010716215450879902
MSTRG.1058_ENST00000294489.10,0.7829235225673584
MSTRG.80361_ENST00000615423.1,0.6020172225014091
MSTRG.5614_ENST00000638901.1,0.5547309562507329
MSTRG.59787_ENST00000383791.8,0.009087885112150055
MSTRG.39774_MSTRG.39774.1,0.17562708234077756
MSTRG.36294_MSTRG.36294.6,0.8576604228599098
MSTRG.13394_ENST00000361518.10,0.15239361220399206
MSTRG.78077_ENST00000318471.5,0.6564355796137759
MSTRG.15730_MSTRG.15730.1,0.3989319076836959
MSTRG.33232_ENST00000261388.7,0.009356884081058652
MSTRG.74460_MSTRG.74460.1,0.7459229267477463
MSTRG.22135_MSTRG.22135.2,0.00754211390278497
MSTRG.17614_MSTRG.17614.1,0.0455167219023932
MSTRG.65587_ENST00000515612.1,0.25606944709262686
MSTRG.15800_ENST00000537918.1,0.7479385241424896
MSTRG.86816_MSTRG.86816.7,0.5482915293726474
MSTRG.3066_MSTRG.3066.1,0.3600721358684609
MSTRG.18960_MSTRG.18960.26,0.0247602695505853
MSTRG.40489_ENST00000546007.6,0.2727811898317236
MSTRG.13957_MSTRG.13957.1,0.6370910777805406
MSTRG.4687_ENST00000483994.1,0.4852893396261192
MSTRG.38322_MSTRG.38322.2,0.00377180747458786
MSTRG.12877_ENST00000469758.5,0.19361597529567037
MSTRG.20521_ENST00000660808.1,0.007603295159482003
MSTRG.64729_MSTRG.64729.1,0.42553173671865263
MSTRG.39536_ENST00000542342.6,0.6351572021823346
MSTRG.37866_ENST00000646401.1,0.42616675645670477
MSTRG.38421_ENST00000290216.14,0.04587373902877847
MSTRG.94199_MSTRG.94199.3,0.04684521076012009
MSTRG.8534_ENST00000477206.5,0.6741463435130307
MSTRG.27942_ENST00000535815.5,0.5967879991464948
MSTRG.18816_MSTRG.18816.3,0.7969910016175124
MSTRG.20320_ENST00000603864.5,0.21664667014724165
MSTRG.39701_MSTRG.39701.1,0.9856471707583881
MSTRG.39405_ENST00000589228.5,0.6833711560845692
MSTRG.43136_MSTRG.43136.15,0.8662309281729903
MSTRG.26080_ENST00000382554.4,0.8249797893235034
MSTRG.91834_ENST00000298537.11,0.16766235881999922
MSTRG.65929_ENST00000263925.8,0.7514192817711837
MSTRG.53454_ENST00000622179.4,0.29560461716203534
MSTRG.36184_MSTRG.36184.1,0.11614335975773953
MSTRG.25981_ENST00000319074.6,0.14535553922694255
MSTRG.20192_ENST00000549441.7,0.6621855312632948
MSTRG.27681_ENST00000557431.5,0.18134524794310883
MSTRG.43179_MSTRG.43179.1,0.49047899432404074
MSTRG.37368_ENST00000394673.6,0.5932488002919172
MSTRG.57370_ENST00000481861.1,0.3151621766867459
MSTRG.7585_MSTRG.7585.23,0.9348020123115626
MSTRG.54550_ENST00000374104.7,0.2930624392717602
MSTRG.30211_MSTRG.30211.3,0.008182388948964683
MSTRG.36148_ENST00000356683.6,0.24977626876112294
MSTRG.42325_MSTRG.42325.55,0.13366881962375782
MSTRG.41444_ENST00000285039.12,0.032059191563916435
MSTRG.59819_MSTRG.59819.1,0.00029864975340253205
MSTRG.59653_ENST00000430365.7,0.1522105850885595
MSTRG.20650_MSTRG.20650.4,0.12126734476945233
MSTRG.16066_MSTRG.16066.32,0.019773723072704905
MSTRG.45872_ENST00000302937.8,0.15937378776838113
MSTRG.16189_MSTRG.16189.5,0.055180396619272105
MSTRG.58382_ENST00000493034.1,0.12489081438874883
MSTRG.61114_MSTRG.61114.5,0.6893085415446683
MSTRG.60825_ENST00000357955.6,0.703707207051731
MSTRG.6257_MSTRG.6257.22,0.044216471116186505
MSTRG.15939_MSTRG.15939.5,0.8378921076293692
MSTRG.39700_ENST00000580322.5,0.8331742992941682
MSTRG.42286_MSTRG.42286.6,0.9244732957413686
MSTRG.11700_MSTRG.11700.15,0.06952594270820416
MSTRG.6049_MSTRG.6049.1,0.0013972433646030076
MSTRG.81958_MSTRG.81958.46,0.9911459778120705
